sku,msku,panels,Status,Status.1,image
cooky_lp_1,CSTE_0012_ST_Bts_LongPillow_Cooky,GL FK,Active,Active Listing,#REF!
BigPillow_Cooky,CSTE_0012_ST_Bts_LongPillow_Cooky,CSTE FK,Active,Active Listing,#REF!
cooky_long,CSTE_0012_ST_Bts_LongPillow_Cooky,GL FK,Active,Active Listing,#REF!
BigPillow_Combo,CSTE_0012_ST_Bts_LongPillow_Cooky,CSTE MEESHO,Active,Combo,#REF!
7LH3HKVZ,CSTE_0012_ST_Bts_LongPillow_Cooky,CSTE MEESHO,In Progress,,
BigPillow_Cooky_fba,CSTE_0012_ST_Bts_LongPillow_Cooky,Rudrav Meesho,In Progress,,
LONG COOKY _ST,CSTE_0012_ST_Bts_LongPillow_Cooky,CSTE MEESHO,In Progress,,
1E-TWV2-4FQF,CSTE_0013_MB_HBD_Red,CSTE AMAZON,Active,Active Listing,#REF!
cj-hbd-red,CSTE_0013_MB_HBD_Red,CSTE AMAZON,Active,Active Listing,#REF!
HBD_MB_red_flex,CSTE_0013_MB_HBD_Red,CSTE AMAZON,Active,Active Listing,#REF!
Map_HBD_instrument_Red,CSTE_0013_MB_HBD_Red,GL FK,Active,Active Listing,#REF!
